label_7network,VIS_Ex1,VIS_Ex3,VIS_Ex4,VIS_Ex5,VIS_Ex6,VIS_Ex8,VIS_In1,VIS_In2,VIS_In3,VIS_In4,VIS_PVALB,VIS_SST,VIS_End,VIS_Per,VIS_Ast,VIS_Oli,VIS_OPC,VIS_Mic
7Networks_LH_SomMot_23,0.0254213130791679,0.2480847064252662,0.2672451036188517,0.0332713412656005,0.0667814755298095,0.0301349819953814,0.0164659694066776,0.0256474531146035,0.0326052159562736,0.072997925560473,0.1643310479631148,0.0119625872802986,0.0387810071597137,0.0030410783038894,0.0237670444548004,0.1203210682406885,0.0,0.0
7Networks_LH_SomMot_24,0.0771728856925503,0.3956389811999263,0.0,0.388657311533172,0.0225818683526984,0.0117484988299252,0.0357168238885606,0.0037476483149886,0.0,0.0394286722651334,0.0172521059667025,0.037417011176176,0.0089015961595126,0.0153218213886688,0.0112175703778423,0.0,0.0,0.0
7Networks_LH_SomMot_25,0.0,0.4635466346517515,0.0,0.251620696937935,0.187942005373835,0.0106931790932923,0.0,0.0380613899565175,0.0136106161170369,0.0295656927732854,0.0457850942316566,0.0,0.027061474789529,0.0073608752878179,0.0,0.0609143555445865,0.0194488661051341,0.0
7Networks_LH_SomMot_26,0.0,0.4421999578592445,0.0425530621938031,0.1023158322221406,0.0355727966256182,0.0528146122763586,0.0,0.0305618294226846,0.0169131716851704,0.0283829249869782,0.1154885662959996,0.0050339737288998,0.0496900066553955,0.0086224627191089,0.0431528571999685,0.2561078294799172,0.00028346850268638665,0.0036735128536904
7Networks_LH_SomMot_27,0.0009593085712154774,0.0817323592895307,0.33694630852178,0.2042066086495,0.0351388027778055,0.0530586111545612,0.0091720293626097,0.034411249818096,0.0654774548348235,0.0120635185337145,0.0320171988227673,0.0,0.0092749525879855,0.0015350615051512,0.0557737173865997,0.2681404572409585,0.031943074282436,0.0234706279420641
7Networks_LH_SomMot_28,0.0,0.0,0.0,0.0051616417143705,0.052907325123659,0.0,0.0,0.0314685978342124,0.0,0.0,0.0060492520007369,0.0,0.0255110170794895,0.00043225734360357,0.0,1.4097628106085,0.0,0.0138380494684851
7Networks_LH_SomMot_29,0.0,0.479468408394029,0.370971364944503,0.0,0.0771551756622835,0.0215220696308885,0.0,0.0667801220969479,0.0,0.0958023891790904,0.150543042949664,0.0048847159916203,0.0335087756719918,0.0,0.0,0.150670400025905,0.0,0.0357671036671289
7Networks_LH_SomMot_30,0.0,0.322403818005602,0.0,0.323795408621271,0.0328362504309134,0.0035097604458913,0.0025160388031308,0.0532415169737668,0.0286236528503758,0.0359819576719425,0.0843797683045591,0.0079858490117102,0.0359985832016085,0.0304640131819916,0.0489696705282946,0.1747180190007073,0.0250500392767172,0.0
7Networks_LH_SomMot_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110389968710207,0.203366464883363,0.0,0.0,0.0,0.305415117418026,0.210377144018442,0.647890093142118,0.0,0.0292659313257097,0.0
7Networks_LH_SomMot_32,0.0,0.4639300538226369,0.2743963528256106,0.0345013847130836,0.0310188652799988,0.0634786876836235,0.0,0.0287707146852587,0.0,0.0520008784195138,0.103810355089811,0.0349040109495543,0.0056123239931017,0.0032327495647575,0.0,0.0128038070714236,0.0,0.0172831869953467
7Networks_LH_SomMot_33,0.0,0.3981473744292315,0.050032827330227,0.1561378530227867,0.0762932243927639,0.0707319022603683,0.0,0.0202027875941426,0.0232929654787579,0.0336117366499101,0.0907853751645091,0.0069785702122839,0.0367423184414525,0.0177364292994639,0.0308627209405234,0.2041387185320549,0.0070621554503657,0.0077656834499798
7Networks_LH_SomMot_34,0.0218444662332181,0.17071333461243,0.0,0.2642171257733546,0.2101567042265537,0.0403715033795295,0.000753340097282888,0.0063181402154021,0.0391601209563178,0.0128099965974579,0.0145243598175528,0.0,0.019135733061687,0.0132907048969329,0.1054311088285981,0.3056908933017054,0.0152820605563748,0.0027228169270809
7Networks_LH_SomMot_35,0.0,0.5138167301654687,0.0,0.0462018335522803,0.0087112375935632,0.0545844962459236,0.0,0.0229003745818234,0.0,0.0374140738908435,0.1450831624564194,0.0020828694547294,0.0591260067564759,0.0093505955959619,0.0,0.3977990617551483,0.0,0.0201594168317227
7Networks_LH_SomMot_36,0.1209148025163415,0.064518790803729,0.2397685668444575,0.033165922928942,0.0696152898379301,0.0,0.0,0.0519990801782015,0.1049947961660503,0.0,0.0,0.0,0.0298038234845037,0.0,0.2172539034097464,0.258098845371958,0.0167003377014392,0.0
7Networks_LH_SomMot_37,0.0,0.723542660483366,0.0105394375319313,0.1606770990470625,0.0,0.0045206587821256,0.0,0.0423032212262671,0.0289274928291168,0.0539150967116228,0.1486457048287716,0.0071816971230679,0.0230073945759385,0.0369457824294175,0.0,0.0106676171197087,0.0180512604136001,0.0071699440869508
7Networks_LH_DorsAttn_Post_1,0.55648005386875,0.0611910090911538,0.0566494580044811,0.1490407887292527,0.0249375927463618,0.0375383847273106,0.0706463221748085,0.0088113270526161,0.021610728637379,0.0217566945291508,0.0117954393281444,0.0192002866774848,0.0044807396547913,0.0042178494506621,0.0209556260016982,0.0772992613194698,0.0168913472424623,0.0235630095093993
7Networks_LH_DorsAttn_Post_2,0.4799275592823433,0.067805320955276,0.1178627161933665,0.1135625750513083,0.0654500329029962,0.0200861538747483,0.027734986674432,0.0214955099707213,0.0287141495479184,0.0171229636668064,0.025137677503348,0.011179120632652,0.0166941410773035,0.0035154517070943,0.0191044115359657,0.1771681388789703,0.0237573458178937,0.0141831319463317
7Networks_LH_DorsAttn_Post_3,0.3789681260655128,0.0674023309774081,0.2265293344399672,0.1357666576642544,0.0276967541093859,0.0264325917209257,0.03305821187496,0.0168881469515164,0.0197984722531168,0.0258158948104153,0.0135419835504334,0.010877201552017,0.0090728925349844,0.0021903642472794,0.0268070260171,0.1445671323469503,0.0086756234031738,0.0039929729424231
